payment_id,transaction_id,payment_method,amount_paid
450,450,Gotovina,7.0
451,451,Kartica,135.54
452,452,Gotovina,17.5
453,453,Kartica,73.37
454,454,Gotovina,299.97
455,455,Gotovina,30.3
456,456,Gotovina,89.5
457,457,Kartica,90.06
458,458,Kartica,19.2
459,459,Gotovina,72.45
460,460,Kartica,10.3
461,461,Gotovina,68.46
462,462,Gotovina,16.9
463,463,Kartica,4.8
464,464,Kartica,9.8
465,465,Kartica,1.9
466,466,Gotovina,49.9
467,467,Gotovina,181.98
468,468,Gotovina,2.5
469,469,Gotovina,15.99
470,470,Gotovina,36.0
471,471,Kartica,33.8
472,472,Kartica,8.5
473,473,Gotovina,68.63
474,474,Gotovina,56.37
475,475,Kartica,22.5
476,476,Kartica,29.5
477,477,Kartica,91.95
478,478,Kartica,51.6
479,479,Kartica,10.5
480,480,Gotovina,64.35
481,481,Gotovina,93.5
482,482,Gotovina,46.09
483,483,Kartica,99.25
484,484,Kartica,92.34
485,485,Gotovina,9.2
486,486,Gotovina,39.2
487,487,Kartica,15.1
488,488,Kartica,1.1
489,489,Gotovina,43.69
490,490,Kartica,15.5
491,491,Gotovina,21.0
492,492,Gotovina,124.98
493,493,Gotovina,40.48
494,494,Gotovina,173.46
495,495,Gotovina,29.2
496,496,Gotovina,7.8
497,497,Gotovina,3.5
498,498,Gotovina,13.6
499,499,Gotovina,29.7
500,500,Gotovina,18.0
501,501,Kartica,88.76
502,502,Gotovina,45.7
503,503,Kartica,52.79
504,504,Kartica,79.48
505,505,Kartica,13.5
506,506,Gotovina,32.48
507,507,Gotovina,60.06
508,508,Gotovina,33.4
509,509,Kartica,13.5
510,510,Gotovina,25.0
511,511,Kartica,48.5
512,512,Gotovina,9.9
513,513,Gotovina,77.1
514,514,Gotovina,10.5
515,515,Gotovina,63.19
516,516,Gotovina,55.27
517,517,Kartica,12.5
518,518,Kartica,21.6
519,519,Gotovina,94.62
520,520,Gotovina,7.99
521,521,Kartica,24.48
522,522,Gotovina,5.5
523,523,Kartica,37.1
524,524,Gotovina,40.97
525,525,Gotovina,4.3
526,526,Kartica,10.0
527,527,Gotovina,38.3
528,528,Kartica,31.0
529,529,Gotovina,9.8
530,530,Kartica,50.8
531,531,Gotovina,13.8
532,532,Gotovina,32.5
533,533,Gotovina,48.4
534,534,Kartica,35.89
535,535,Gotovina,40.0
536,536,Gotovina,57.68
537,537,Kartica,11.2
538,538,Kartica,25.9
539,539,Kartica,10.5
540,540,Gotovina,110.17
541,541,Gotovina,56.5
542,542,Gotovina,37.47
543,543,Gotovina,173.77
544,544,Gotovina,69.7
545,545,Kartica,4.8
546,546,Gotovina,37.48
547,547,Gotovina,59.2
548,548,Kartica,39.8
549,549,Kartica,13.3
550,550,Gotovina,8.5
551,551,Kartica,8.6
552,552,Kartica,79.95
553,553,Gotovina,11.0
554,554,Kartica,26.78
555,555,Gotovina,10.5
556,556,Kartica,106.97
557,557,Gotovina,19.3
558,558,Kartica,10.0
559,559,Gotovina,102.91
560,560,Gotovina,45.46
561,561,Gotovina,34.5
562,562,Kartica,14.0
563,563,Gotovina,15.2
564,564,Kartica,27.6
565,565,Gotovina,34.3
566,566,Gotovina,2.5
567,567,Kartica,57.3
568,568,Gotovina,28.3
569,569,Kartica,14.59
570,570,Kartica,50.99
571,571,Gotovina,43.5
572,572,Kartica,2.9
573,573,Kartica,67.57
574,574,Gotovina,32.3
575,575,Gotovina,5.5
576,576,Kartica,20.3
577,577,Gotovina,45.69
578,578,Kartica,4.2
579,579,Gotovina,63.48
580,580,Kartica,19.6
581,581,Kartica,261.36
582,582,Kartica,68.57
583,583,Kartica,30.8
584,584,Gotovina,52.45
585,585,Gotovina,21.48
586,586,Kartica,100.65
587,587,Kartica,67.35
588,588,Kartica,11.2
589,589,Gotovina,81.55
590,590,Gotovina,159.75
591,591,Kartica,26.9
592,592,Gotovina,53.0
593,593,Kartica,2.4
594,594,Kartica,27.1
595,595,Kartica,3.5
596,596,Kartica,15.29
597,597,Gotovina,53.6
598,598,Kartica,1.2
599,599,Kartica,26.2
600,600,Kartica,98.3
601,601,Gotovina,44.5
602,602,Kartica,7.0
603,603,Kartica,47.5
604,604,Gotovina,11.1
605,605,Gotovina,76.94
606,606,Gotovina,53.9
607,607,Kartica,68.2
608,608,Gotovina,96.86
609,609,Gotovina,56.1
610,610,Kartica,10.1
611,611,Gotovina,19.2
612,612,Gotovina,23.8
613,613,Kartica,125.47
614,614,Kartica,47.6
615,615,Kartica,284.57
616,616,Kartica,42.5
617,617,Gotovina,36.5
618,618,Gotovina,43.6
619,619,Gotovina,84.34
620,620,Kartica,61.0
621,621,Gotovina,68.7
622,622,Kartica,34.5
623,623,Gotovina,9.0
624,624,Gotovina,6.0
625,625,Gotovina,35.0
626,626,Gotovina,25.9
627,627,Kartica,47.39
628,628,Gotovina,80.17
629,629,Gotovina,20.4
630,630,Gotovina,88.39
631,631,Gotovina,123.24
632,632,Kartica,22.5
633,633,Kartica,134.35
634,634,Kartica,160.16
635,635,Kartica,51.7
636,636,Kartica,35.4
637,637,Kartica,54.5
638,638,Kartica,60.85
639,639,Kartica,33.1
640,640,Gotovina,45.49
641,641,Gotovina,36.49
642,642,Kartica,68.5
643,643,Kartica,75.84
644,644,Gotovina,46.9
645,645,Kartica,18.6
646,646,Kartica,29.7
647,647,Gotovina,20.2
648,648,Gotovina,35.4
649,649,Gotovina,129.56
650,650,Gotovina,49.57
651,651,Kartica,10.5
652,652,Kartica,10.0
653,653,Kartica,1.5
654,654,Gotovina,123.95
655,655,Gotovina,79.67
656,656,Kartica,106.76
657,657,Kartica,35.57
658,658,Gotovina,142.25
659,659,Gotovina,28.0
660,660,Gotovina,1.0
661,661,Kartica,40.3
662,662,Kartica,17.0
663,663,Gotovina,11.2
664,664,Kartica,105.15
665,665,Kartica,55.5
666,666,Kartica,204.75
667,667,Kartica,59.72
668,668,Kartica,105.36
669,669,Gotovina,71.45
670,670,Kartica,12.6
671,671,Kartica,49.3
672,672,Gotovina,14.0
673,673,Kartica,59.95
674,674,Gotovina,167.4
675,675,Gotovina,29.5
676,676,Gotovina,71.38
677,677,Gotovina,89.69
678,678,Gotovina,35.48
679,679,Kartica,23.49
680,680,Kartica,92.75
681,681,Kartica,24.5
682,682,Gotovina,65.08
683,683,Gotovina,60.37
684,684,Kartica,35.4
685,685,Kartica,59.7
686,686,Gotovina,34.1
687,687,Gotovina,37.3
688,688,Gotovina,9.5
689,689,Kartica,64.8
690,690,Gotovina,28.2
691,691,Kartica,94.37
692,692,Gotovina,126.86
693,693,Gotovina,86.55
694,694,Gotovina,66.57
695,695,Gotovina,28.0
696,696,Kartica,104.56
697,697,Kartica,16.6
698,698,Kartica,30.9
699,699,Gotovina,117.09
700,700,Gotovina,4.5
701,701,Gotovina,5.8
702,702,Kartica,92.0
703,703,Gotovina,20.98
704,704,Kartica,115.18
705,705,Gotovina,7.0
706,706,Gotovina,18.0
707,707,Gotovina,18.5
708,708,Gotovina,50.9
709,709,Kartica,124.95
710,710,Kartica,119.97
711,711,Kartica,117.58
712,712,Gotovina,33.7
713,713,Gotovina,132.75
714,714,Kartica,100.44
715,715,Gotovina,32.5
716,716,Kartica,29.9
717,717,Gotovina,34.99
718,718,Gotovina,17.6
719,719,Gotovina,74.96
720,720,Gotovina,138.77
721,721,Gotovina,183.94
722,722,Gotovina,6.9
723,723,Kartica,4.8
724,724,Kartica,25.3
725,725,Gotovina,6.5
726,726,Gotovina,31.8
727,727,Gotovina,2.5
728,728,Kartica,13.2
729,729,Kartica,39.1
730,730,Gotovina,25.79
731,731,Kartica,18.0
732,732,Kartica,19.2
733,733,Kartica,11.9
734,734,Kartica,138.57
735,735,Gotovina,23.6
736,736,Kartica,8.2
737,737,Gotovina,91.97
738,738,Kartica,72.5
739,739,Gotovina,97.61
740,740,Gotovina,54.85
741,741,Gotovina,22.9
742,742,Gotovina,29.5
743,743,Kartica,13.9
744,744,Gotovina,50.98
745,745,Kartica,62.38
746,746,Kartica,4.8
747,747,Gotovina,32.2
748,748,Kartica,49.0
749,749,Gotovina,89.65
750,750,Gotovina,6.0
751,751,Kartica,18.5
752,752,Kartica,65.8
753,753,Kartica,129.35
754,754,Gotovina,35.1
755,755,Gotovina,92.34
756,756,Kartica,53.1
757,757,Kartica,19.5
758,758,Gotovina,31.96
759,759,Kartica,22.1
760,760,Gotovina,234.71
761,761,Kartica,2.9
762,762,Kartica,47.5
763,763,Gotovina,22.8
764,764,Kartica,7.2
765,765,Kartica,89.05
766,766,Kartica,34.98
767,767,Kartica,23.97
768,768,Kartica,95.25
769,769,Gotovina,24.7
770,770,Gotovina,4.4
771,771,Kartica,164.77
772,772,Gotovina,26.7
773,773,Gotovina,30.3
774,774,Kartica,27.5
775,775,Kartica,18.2
776,776,Gotovina,5.8
777,777,Kartica,41.68
778,778,Kartica,36.09
779,779,Kartica,44.3
780,780,Gotovina,22.9
781,781,Gotovina,27.18
782,782,Gotovina,71.5
783,783,Gotovina,51.2
784,784,Gotovina,33.7
785,785,Kartica,263.12
786,786,Gotovina,59.99
787,787,Gotovina,56.4
788,788,Gotovina,62.0
789,789,Kartica,60.58
790,790,Gotovina,36.6
791,791,Gotovina,28.7
792,792,Gotovina,17.9
793,793,Kartica,94.17
794,794,Kartica,27.3
795,795,Kartica,33.0
796,796,Gotovina,5.8
797,797,Kartica,38.29
798,798,Kartica,3.0
799,799,Gotovina,34.3
800,800,Kartica,255.35
801,801,Kartica,2.4
802,802,Kartica,14.0
803,803,Kartica,41.3
804,804,Gotovina,30.78
805,805,Kartica,121.42
806,806,Kartica,24.0
807,807,Kartica,36.2
808,808,Gotovina,28.3
809,809,Gotovina,27.3
810,810,Gotovina,17.0
811,811,Kartica,47.2
812,812,Kartica,10.0
813,813,Gotovina,58.1
814,814,Kartica,28.77
815,815,Kartica,7.5
816,816,Gotovina,3.0
817,817,Kartica,59.67
818,818,Kartica,58.5
819,819,Kartica,52.49
820,820,Kartica,81.8
821,821,Kartica,26.9
822,822,Gotovina,87.37
823,823,Kartica,31.3
824,824,Gotovina,166.96
825,825,Kartica,25.97
826,826,Kartica,71.18
827,827,Gotovina,122.49
828,828,Kartica,64.1
829,829,Gotovina,76.99
830,830,Gotovina,19.4
831,831,Kartica,2.2
832,832,Gotovina,30.9
833,833,Kartica,111.45
834,834,Gotovina,44.5
835,835,Kartica,82.25
836,836,Gotovina,107.18
837,837,Gotovina,3.5
838,838,Kartica,67.69
839,839,Kartica,1.1
840,840,Gotovina,37.58
841,841,Kartica,32.5
842,842,Kartica,23.5
843,843,Kartica,33.8
844,844,Gotovina,5.8
845,845,Gotovina,40.66
846,846,Gotovina,124.17
847,847,Gotovina,32.2
848,848,Kartica,92.95
849,849,Kartica,24.98
850,850,Kartica,205.46
851,851,Gotovina,16.6
852,852,Kartica,18.5
853,853,Gotovina,62.55
854,854,Gotovina,45.0
855,855,Kartica,42.4
856,856,Kartica,26.0
857,857,Gotovina,81.98
858,858,Kartica,161.48
859,859,Kartica,34.8
860,860,Gotovina,21.6
861,861,Kartica,3.7
862,862,Gotovina,11.0
863,863,Kartica,23.98
864,864,Gotovina,28.5
865,865,Kartica,18.99
866,866,Kartica,43.0
867,867,Kartica,109.26
868,868,Kartica,20.5
869,869,Gotovina,11.0
870,870,Gotovina,76.2
871,871,Kartica,11.7
872,872,Kartica,8.0
873,873,Gotovina,28.5
874,874,Gotovina,34.78
875,875,Gotovina,8.6
876,876,Gotovina,152.44
877,877,Kartica,187.06
878,878,Kartica,5.0
879,879,Gotovina,11.3
880,880,Gotovina,3.5
881,881,Gotovina,20.29
882,882,Gotovina,23.9
883,883,Gotovina,27.0
884,884,Gotovina,38.5
885,885,Kartica,60.37
886,886,Kartica,20.5
887,887,Kartica,37.19
888,888,Gotovina,30.5
889,889,Kartica,25.9
890,890,Gotovina,3.2
891,891,Gotovina,64.0
892,892,Kartica,50.79
893,893,Gotovina,71.05
894,894,Kartica,75.54
895,895,Gotovina,60.27
896,896,Gotovina,100.68
897,897,Kartica,54.79
898,898,Kartica,35.2
899,899,Gotovina,114.3
900,900,Kartica,27.6
901,901,Kartica,53.2
902,902,Kartica,16.7
903,903,Gotovina,22.38
904,904,Gotovina,18.0
905,905,Kartica,1.1
906,906,Gotovina,8.4
907,907,Kartica,29.3
908,908,Kartica,127.89
909,909,Kartica,24.3
910,910,Kartica,7.5
911,911,Kartica,12.2
912,912,Gotovina,8.1
913,913,Gotovina,31.3
914,914,Kartica,148.15
915,915,Kartica,23.8
916,916,Gotovina,42.2
917,917,Kartica,29.7
918,918,Kartica,174.07
919,919,Kartica,18.8
920,920,Gotovina,103.16
921,921,Kartica,56.98
922,922,Gotovina,17.6
923,923,Kartica,12.8
924,924,Gotovina,15.3
925,925,Gotovina,5.6
926,926,Kartica,50.57
927,927,Kartica,3.2
928,928,Kartica,12.7
929,929,Gotovina,60.07
930,930,Kartica,22.1
931,931,Kartica,32.9
932,932,Kartica,9.0
933,933,Gotovina,18.4
934,934,Kartica,26.0
935,935,Kartica,41.29
936,936,Kartica,3.0
937,937,Gotovina,30.7
938,938,Kartica,53.95
939,939,Gotovina,138.27
940,940,Gotovina,41.6
941,941,Kartica,153.15
942,942,Kartica,6.5
943,943,Kartica,27.96
944,944,Gotovina,103.49
945,945,Kartica,21.9
946,946,Kartica,10.3
947,947,Kartica,116.43
948,948,Kartica,36.39
949,949,Gotovina,88.7
950,950,Gotovina,28.4
951,951,Kartica,6.3
952,952,Gotovina,41.8
953,953,Kartica,7.5
954,954,Gotovina,21.5
955,955,Kartica,125.39
956,956,Kartica,78.65
957,957,Gotovina,17.8
958,958,Kartica,7.0
959,959,Gotovina,12.7
960,960,Gotovina,10.8
961,961,Gotovina,67.95
962,962,Gotovina,24.5
963,963,Gotovina,13.5
964,964,Kartica,44.4
965,965,Kartica,5.0
966,966,Gotovina,19.7
967,967,Kartica,3.8
968,968,Kartica,91.85
969,969,Kartica,9.6
970,970,Kartica,7.6
971,971,Gotovina,120.45
972,972,Gotovina,12.5
973,973,Kartica,61.98
974,974,Gotovina,3.7
975,975,Kartica,7.5
976,976,Kartica,130.27
977,977,Kartica,47.6
978,978,Kartica,171.66
979,979,Kartica,2.7
980,980,Kartica,11.7
981,981,Kartica,137.45
982,982,Kartica,4.4
983,983,Kartica,65.45
984,984,Gotovina,76.05
985,985,Kartica,114.1
986,986,Kartica,52.2
987,987,Gotovina,66.4
988,988,Kartica,118.77
989,989,Gotovina,56.1
990,990,Gotovina,89.68
991,991,Gotovina,58.0
992,992,Gotovina,115.77
993,993,Kartica,12.2
994,994,Kartica,26.4
995,995,Kartica,22.5
996,996,Gotovina,178.55
997,997,Kartica,8.3
998,998,Gotovina,190.26
999,999,Kartica,80.3
1000,1000,Kartica,55.68
1001,1001,Kartica,61.8
1002,1002,Kartica,35.46
1003,1003,Gotovina,84.55
1004,1004,Gotovina,169.66
1005,1005,Gotovina,91.58
1006,1006,Gotovina,30.8
1007,1007,Kartica,56.38
1008,1008,Gotovina,42.4
1009,1009,Kartica,9.3
1010,1010,Kartica,29.3
1011,1011,Gotovina,10.5
1012,1012,Gotovina,35.67
1013,1013,Gotovina,26.0
1014,1014,Gotovina,57.9
1015,1015,Kartica,35.1
1016,1016,Gotovina,14.7
1017,1017,Gotovina,56.2
1018,1018,Kartica,41.1
1019,1019,Gotovina,59.28
1020,1020,Kartica,56.9
1021,1021,Kartica,31.0
1022,1022,Kartica,40.8
1023,1023,Gotovina,24.9
1024,1024,Kartica,65.09
1025,1025,Gotovina,29.49
1026,1026,Gotovina,95.79
1027,1027,Kartica,13.6
1028,1028,Kartica,44.3
1029,1029,Kartica,115.88
1030,1030,Kartica,50.5
